delta_v (RPM),w (rad/s),v_x (m/s)
0.0275,-0.000523599,0.0554399
2.64917,0.05044,0.0597045
4.2075,0.0801106,0.0597045
2.29167,-0.0436332,0.0597045
3.34583,0.0637045,0.0533076
2.035,0.0387463,0.0575722
1.43917,-0.0274017,0.0597045
1.68667,0.0321141,0.0554399
1.16417,-0.0221657,0.0597045
0.0183333,-0.000349066,0.0597045
1.57667,0.0300197,0.0575722
0.256667,0.00488692,0.0575722
1.11833,0.021293,0.0554399
0.3575,0.00680678,0.0575722
1.2925,0.0246091,0.0575722
0.265833,0.00506145,0.0575722
0.889167,-0.0169297,0.0597045
0.100833,0.00191986,0.0554399
1.55833,-0.0296706,0.0597045
4.33583,0.0825541,0.0575722
2.3375,0.0445059,0.0575722
0.88,-0.0167552,0.0618368
3.83167,0.0729548,0.0575722
1.485,0.0282743,0.0575722
1.13667,0.0216421,0.0618368
1.5125,0.0287979,0.0597045
1.6225,-0.0308923,0.0597045
0.311667,-0.00593412,0.0597045
1.08167,-0.0205949,0.0618368
1.08167,-0.0205949,0.0618368
1.5125,0.0287979,0.0234553
0.861667,-0.0164061,-0.0021323
1.1275,0.0214675,0
0.485833,-0.00925025,0
0,0,0
0,0,0
0,0,0
0,0,0
0.0825,-0.0015708,0
0.229167,-0.00436332,0.00639691
0.146667,-0.00279253,0.0298522
0.495,0.00942478,0.0127938
3.30917,-0.0630064,0.0021323
0.476667,-0.00907571,0.00639691
2.53,-0.0481711,-0.0042646
2.86917,-0.0546288,0
2.65833,-0.0506145,0.00639691
0.119167,-0.00226893,0
0.0733333,0.00139626,0
0.375833,0.00715585,0
0.22,-0.00418879,0
0.055,0.0010472,0
3.39167,-0.0645772,0.0021323
3.355,-0.0638791,0
3.7125,-0.0706858,0.00639691
1.64083,-0.0312414,0.0021323
2.365,-0.0450295,0
2.70417,-0.0514872,0.0042646
2.70417,-0.0514872,0.0042646
2.38333,-0.0453786,0.0021323
2.035,-0.0387463,0.0042646
4.95917,-0.0944223,0.0021323
4.95917,-0.0944223,0.0021323
6.60917,-0.125838,0.00639691
6.16,-0.117286,0.0042646
3.20833,-0.0610865,0.0021323
5.21583,-0.0993092,0.0042646
2.90583,-0.0553269,0.0021323
4.30833,-0.0820305,0.0021323
5.09667,-0.0970403,0
7.03083,-0.133867,0.00639691
4.5375,-0.0863938,0.0021323
6.17833,-0.117635,0.0021323
7.36083,-0.14015,-0.0021323
4.8125,-0.0916298,0.0127938
4.99583,-0.0951204,0.0191907
2.2275,-0.0424115,0.0255876
2.60333,0.0495674,0.0298522
3.03417,-0.0577704,0.0298522
1.3475,0.0256563,0.0341168
1.96167,-0.03735,0.0362491
0.128333,-0.00244346,0.0362491
0.11,-0.0020944,0.0383814
1.03583,-0.0197222,0.0341168
0.669167,-0.0127409,0.0405137
0.256667,-0.00488692,0.0447783
0.0825,0.0015708,0.0383814
0.953333,-0.0181514,0.0383814
0.0641667,0.00122173,0.0405137
0.128333,-0.00244346,0.0469106
0.155833,-0.00296706,0.042646
0.2475,-0.00471239,0.049043
0.2475,-0.00471239,0.0405137
1.36583,-0.0260054,0.042646
1.65917,0.0315905,0.042646
2.7775,-0.0528835,0.0383814
2.4475,0.0466003,0.042646
0.394167,0.00750492,0.0405137
1.6775,0.0319395,0.042646
2.8875,-0.0549779,0.0405137
1.9525,0.0371755,0.0447783
1.1275,-0.0214675,0.0511753
2.48417,-0.0472984,0.042646
2.29167,-0.0436332,0.049043
